state,math_diff,read_diff,pp_diff,poverty,all_11,white_11,black_11,his_11,m_all_05,m_white_05,m_black_05,m_his_05,m_diff_white,m_diff_black,m_diff_his
AK,7,10,-8585,10.1,236.359658,247.7801344,225.1173489,238.9934434,236,244,226,227,3.780134438,-0.88265111,11.99344337
AL,3,-2,-3223,15.6,231.286019,239.9734477,215.0837684,227.2031865,225,235,211,,4.973447728,4.083768426,
AR,5,2,-4199,16.2,237.810157,244.3522693,219.2739125,232.5189258,236,242,214,229,2.352269289,5.2739125,3.518925766
AZ,3,0,-3075,17,235.157597,246.3550621,224.2687786,226.6039589,230,243,217,218,3.355062058,7.268778571,8.603958924
CA,6,4,-3042,14.5,234.1649932,251.6393945,225.2099192,221.700624,230,245,215,219,6.639394539,10.20991919,2.700624041
CO,8,1,-3048,11.4,244.4560971,254.1132923,225.1888403,229.9107149,239,247,222,223,7.113292259,3.188840274,6.91071487
CT,2,4,-7034,8.8,242.4134069,253.2909064,220.4866572,222.4487161,242,250,219,223,3.290906438,1.486657158,-0.551283943
DC,11,8,-14215,18.8,221.8082831,272.0364477,214.8507482,223.0984038,211,266,207,215,6.036447731,7.850748176,8.098403783
DE,3,2,-3285,10.8,240.3598324,249.7744381,227.0496586,230.995095,240,249,226,229,0.774438148,1.049658634,1.995095041
FL,0,5,-3188,13.4,239.826451,249.6863477,226.3852862,235.7724376,239,247,224,233,2.68634767,2.385286167,2.7724376
GA,7,6,-3029,16,238.3665421,248.8108204,224.0720333,233.2086548,234,243,221,229,5.810820376,3.072033312,4.208654849
HI,12,4,-5222,10.3,238.8219278,248.3026073,232.8959652,236.5965567,230,241,221,219,7.302607294,11.89596517,17.59655667
IA,-1,0,-4282,10.2,242.6048729,245.5431882,224.2002694,228.8501528,240,242,224,222,3.543188173,0.20026943,6.850152849
ID,6,-1,-1887,12.1,240.3288325,244.2225866,?,223.1815559,242,245,,226,-0.777413379,,-2.818444061
IL,6,5,-5162,12.3,238.8368789,248.7085994,219.3420857,226.4905802,233,245,212,219,3.70859937,7.342085726,7.490580168
IN,6,2,-2951,13.9,243.836876,248.5090326,222.8733296,234.346961,240,245,221,230,3.509032638,1.87332958,4.346960973
KS,1,3,-4205,13.2,246.2553348,251.0921076,227.0251598,234.7006682,246,249,228,234,2.092107626,-0.974840203,0.700668161
KY,13,5,-3501,16.4,240.8307002,242.5256883,225.2489108,235.9064247,231,234,217,,8.525688291,8.248910775,
LA,2,3,-4630,18.1,230.7788693,241.4238376,219.3194692,230.0783561,230,241,219,,0.423837566,0.319469238,
MA,6,7,-5378,11,253.3964558,258.2127269,234.5869341,235.9843467,247,252,228,225,6.212726936,6.586934139,10.98434672
MD,10,11,-6556,9.3,247.1065558,257.8398184,229.7805446,244.7334829,238,250,220,232,7.839818422,9.780544566,12.7334829
ME,9,-3,-4206,11.9,244.2570165,245.7748459,211.556586,?,241,241,,,4.774845908,,
MI,-3,-1,-3194,13.4,236.4022137,241.8958905,211.200618,227.8830523,238,245,211,224,-3.104109523,0.200618022,3.883052293
MN,6,-3,-4694,9.6,249.1866861,255.0887945,224.5107649,230.4702526,246,251,219,223,4.088794489,5.510764854,7.470252633
MO,6,1,-3738,13.6,240.494831,246.1178152,216.356454,231.2052415,235,240,215,221,6.11781521,1.356453969,10.2052415
MS,11,4,-2903,20.6,229.8680222,240.6953951,217.3577348,229.3346337,227,238,216,,2.695395106,1.357734807,
MT,7,-1,-3915,14,243.7966065,247.416961,?,236.9158318,241,243,,234,4.416961004,,2.915831808
NE,3,2,-5652,10.1,239.8032687,246.5449283,212.9436133,225.9799508,238,244,211,219,2.544928306,1.943613314,6.979950799
NH,11,4,-5750,6.5,251.7788368,252.4724436,235.0068926,234.6825837,246,246,,226,6.472443551,,8.682583657
NC,5,5,-2173,15.1,244.5179008,253.0809056,228.5951123,238.2670871,241,250,225,234,3.080905585,3.595112285,4.267087089
ND,6,0,-5343,11,245.156416,248.8023286,?,232.7842752,243,245,,,3.802328577,,
NJ,6,6,-4999,9.3,248.0041626,255.9179645,230.8768485,233.9413436,244,251,224,230,4.917964506,6.876848482,3.941343638
NM,11,-1,-3742,18.3,232.8403707,246.6436369,226.0995001,228.2163338,224,238,213,218,8.643636872,13.09950012,10.21633379
NV,10,5,-3238,12.2,237.0318789,246.8176269,225.6308563,228.6140392,230,240,214,219,6.817626869,11.63085626,9.61403921
NY,-1,2,-8108,15,237.5199426,245.3440048,223.5637733,226.0100997,238,247,222,226,-1.655995204,1.563773279,0.010099652
OH,2,0,-4160,13.5,244.0386216,249.0866153,225.7290623,232.5120213,242,248,221,231,1.086615284,4.729062317,1.512021285
OK,5,1,-2725,14.4,237.4290823,242.8766108,223.9533817,227.4065335,234,240,217,226,2.876610792,6.953381719,1.406533505
OR,-1,1,-3104,12.8,236.914497,242.6692383,214.723219,219.7871227,238,243,222,218,-0.330761699,-7.276780983,1.787122723
PA,6,5,-5174,11.4,245.6549103,251.4273243,223.8915101,225.5987574,241,247,219,220,4.427324255,4.891510126,5.598757359
RI,12,6,-5943,12.2,241.6247747,249.3363382,225.4722434,224.2281469,233,241,211,211,8.336338248,14.47224337,13.22814686
SC,0,2,-3663,14.8,237.303025,248.4510605,220.4182895,233.7672363,238,250,223,236,-1.548939505,-2.581710534,-2.232763686
SD,-1,-2,-3418,12.5,240.9797923,245.6320384,226.5442829,226.2453014,242,245,,,0.632038415,,
TN,2,-1,-2525,15.6,232.901117,238.6783385,215.9494933,227.8848845,232,238,214,229,0.678338505,1.949493281,-1.11511553
TX,-1,0,-3203,16.9,241.1017937,253.3347373,231.8238693,235.0134163,242,254,228,235,-0.665262697,3.823869255,0.013416277
UT,6,-1,-2844,9.5,242.5375131,247.1793421,?,222.8397651,239,242,,220,5.179342059,,2.839765055
VA,5,2,-3317,9.9,245.3336181,251.1660095,228.6723786,236.72085,240,247,224,230,4.166009481,4.672378556,6.720850028
VT,7,2,-5824,9.4,246.6397299,247.5541191,?,?,244,244,,,3.554119053,,
WA,3,-2,-4063,10.7,243.1828847,249.2566104,227.0798645,226.0714573,242,246,231,224,3.256610442,-3.920135462,2.071457264
WI,6,0,-3987,10.7,244.6918655,250.7810441,217.0190056,227.8857447,241,247,210,224,3.781044062,7.019005612,3.885744678
WV,7,1,-3894,15.7,234.6558068,235.0723424,227.2849553,?,231,231,226,,4.072342448,1.284955297,
WY,0,0,-9273,10.2,243.874435,246.3479859,?,235.4422984,243,245,,234,1.347985879,,1.44229844
